en
Name, Display Name, Translated Display Name
Manu, , 
Paco, , 
Paqui, , 
Anamari, , 
Concha, , 
Manoli, , 
Marianto, , 
Feligresa, Feligresa, Sister
Enterradora, Enterradora, Gravedigger
Juana, , 
Chatarrero de Agua, Chatarrero de Agua, Water Scrap Dealer
El Siluro, El Siluro, The Catfish
Chatarrero Viajero, Chatarrero Viajero, Traveling Scap Dealer
Doña Candelaria, Doña Candelaria, Mrs. Candelaria
Mesa Trabajo, Mesa Trabajo, Work Bench
El Viento, El Viento, The Wind
Jugador, Carmen, 
Cura, Cura, Priest
Cabo Mayor Paco, Cabo Mayor Paco, Sergeant Major Paco
Deambulante Adormilado, Deambulante Adormilado, Drowsy wanderer
