en
Name, Display Name, Translated Display Name
Manu, <color=#9A1E35>Manu</color>, 
Paco, <color=#208276>Paco</color>, 
Paqui, <color=#67AD2D>Paqui</color>, 
Anamari, <color=#1CCA65>Anamari</color>, 
Concha, <color=#ADAA3C>Concha</color>, 
Manoli, <color=#1A6EA8>Manoli</color>, 
Marianto, <color=#572A0E>Marianto</color>, 
Feligresa, <color=#00BE16>Feligresa</color>, <color=#00BE16>Parishioner</color>
Enterradora, <color=#BE2CB5>Enterradora</color>, <color=#BE2CB5>Gravedigger</color>
Juana, <color=#72E767>Juana la Pipa</color>, <color=#72E767>Juana la Pipa</color>
Chatarrero de Agua, <color=#D4D253>Chatarrero de Agua</color>, <color=#D4D253>Water Junkman</color>
El Siluro, <color=#CA2F1C>El Siluro</color>, <color=#CA2F1C>The Catfish</color>
Chatarrero Viajero, <color=#72E767>Chatarrero Viajero</color>, <color=#72E767>Traveling Junkman</color>
Doña Candelaria, <color=#7878FF>Doña Candelaria</color>, <color=#7878FF>Mrs. Candelaria</color>
Mesa Trabajo, <color=#B9355A>Mesa de trabajo</color>, <color=#B9355A>Work bench</color>
El Viento, <color=#CABC6B>El Viento</color>, <color=#CABC6B>The Wind</color>
Jugador, , 
Cura, <color=#8D2EB9>Cura</color>, <color=#8D2EB9>Priestess</color>
Cabo Mayor Paco, <color=#11B000>Cabo Mayor Paco</color>, <color=#11B000>Sergeant Major Paco</color>
Deambulante Adormilado, <color=#D94F76>Deambulante Adormilado</color>, <color=#D94F76>Drowsy Wanderer</color>
Magdalenita, , 
